110.29794120788574,-0.19305439554154874,67,1.2042771838760873,-1.9198621771937625
113.28772735595703,-0.1946109992451966,67,-0.2967059728390359,0.8552113334772216
115.29202365875244,-0.09500995967537165,67,-1.3439053606381853,-2.0595903539558606
115.28347682952881,-0.09460898758843542,67,1.117010721276371,0.4537856060712677
115.30239009857178,-0.0830352794378996,67,0.13962634015954656,0.8726646259971647
116.29717063903809,0.009448107331991196,67,-2.00713231299858233,-2.5831909661567112
112.26808452606201,-0.08395027033984662,67,1.4661784082777886,1.9024107212763707
116.28373432159424,0.10033441517734903,67,-1.4486251157578452,-1.850050843716541
116.29516792297363,0.1022979460190982,67,-0.13962634015954623,-1.5184364492350666
116.29663181304932,0.11021965593099597,65,-1.85005268031909267,-2.3911047484373349
111.29569053649902,-0.18741686809808017,67,-0.1047197551196597,-1.6231562043547265
115.28884410858154,0.01255545299500227,67,0.8028514559173916,1.5533430342749535
119.291672706604,-0.09392768647521735,67,1.3265520681182422,4.293515469713706
110.27816486358643,0.09843174056150022,67,-0.017453292519943098,-0.1919862177193763
110.26426029205322,-0.002924444153904915,67,0.5934119456780722,-0.8377580409572785
112.27456855773926,0.004548529628664255,67,0.8726646259971649,0.48869219055841207
119.31460189819336,0.10302148680202666,66,1.2042771838760873,2.426084993317675
113.28112030029297,0.10799570605158809,67,3.6826447217080354,2.3212879051524578
116.2692985534668,0.011486434377729893,67,-0.34906585039886584,-2.0245819323134224
116.26449871063232,-0.09387869937345386,65,-1.83269938779914935,-2.4609179185171082
115.27967643737793,-0.18722724337130786,67,0.3141592653589793,-1.3089969389957472
116.2857666015625,-0.20167403742671014,67,0.5934101090755205,2.4435317007977319
113.29022312164307,-0.19040924292057754,67,0.12217304763960324,1.3089969389957474
116.29527473449707,0.09614571058191362,67,1.1344640137963145,0.3141592653589793
112.26844787597656,0.11033591199666265,67,-1.3788101090755203,-1.4486232791552935
114.28804206848145,-0.18648529779165984,67,0.36651914291880927,1.2915436464758034
114.31114196777344,-0.0017814134480431676,67,-1.989779020478639,2.4958718232379017
113.2994556427002,-3.5969923726748707,67,0.22689280275926293,0.5410520681182422
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
